,lat,lng,cluster
1631,35.21002809,126.87550978,4
1748,35.21139145164912,126.88065928643437,4
1920,35.21180573,126.87953715,4
1669,35.20947267,126.87989829,4
1667,35.21050027,126.87609305,4
1658,35.21125023,126.87881501,4
1296,35.20908383,126.88025938,4
1830,35.21180573,126.87953715,4
306,35.21083355,126.87528755,4
540,35.21047252,126.87764847,4
1657,35.21166686,126.87950938,4
1363,35.20816719,126.87537095,4
1949,35.2112733,126.8788002,4
1648,35.21047252,126.87764847,4
1239,35.20947267,126.87989829,4
1259,35.21139145164912,126.88065928643437,4
1820,35.2112733,126.8788002,4
1087,35.21055583,126.87703741,4
1799,35.21180573,126.87953715,4
1736,35.21000041,126.88139815,4
489,35.21133287,126.83826304,5
917,35.20991637,126.83862416,5
952,35.20991637,126.83865193,5
516,35.2106385,126.83826306,5
478,35.20991636,126.83792977,5
969,35.20991637,126.83865193,5
966,35.20991637,126.83865193,5
654,35.2106385,126.83826306,5
791,35.21088845,126.83704094,5
950,35.20991637,126.83865193,5
951,35.20991637,126.83865193,5
954,35.20991637,126.83865193,5
495,35.21057310925684,126.83818075246764,5
727,35.20991637,126.83862416,5
0,35.2117217,126.83737422,5
1529,35.21088845,126.83704094,5
129,35.21091623,126.83706871,5
1693,35.21091623,126.83706871,5
1687,35.21057310925684,126.83818075246764,5
154,35.2117217,126.83737422,5
1629,35.21133287,126.83826304,5
171,35.20991637,126.83867971,5
1617,35.21057310925684,126.83818075246764,5
1600,35.21088845,126.83704094,5
1575,35.21088845,126.83704094,5
1003,35.21091623,126.83706871,5
122,35.20991637,126.83862416,5
208,35.20991636,126.83792977,5
215,35.20991637,126.83851305,5
1476,35.20991637,126.83862416,5
223,35.20991637,126.83851305,5
1457,35.21033296,126.83706873,5
1453,35.21016633,126.83826307,5
1418,35.20991637,126.83865193,5
1409,35.21136061,126.83648542,5
1394,35.21097179,126.8378742,5
1375,35.21136061,126.83648542,5
1374,35.21136061,126.83648542,5
1500,35.21091623,126.83706871,5
1372,35.21097179,126.8378742,5
119,35.2106385,126.83826306,5
1782,35.2109718,126.83815195,5
2042,35.21130509,126.83806861,5
4,35.21091623,126.83706871,5
10,35.2106385,126.83826306,5
2022,35.21122175,126.8369576,5
22,35.21088845,126.83704094,5
2002,35.21130509,126.83806861,5
1985,35.21122175,126.8369576,5
1978,35.2109718,126.83815195,5
1972,35.21130509,126.83806861,5
1971,35.2109718,126.83815195,5
1775,35.2109718,126.83815195,5
42,35.21091623,126.83706871,5
45,35.21057310925684,126.83818075246764,5
1940,35.2109718,126.83815195,5
74,35.21130509,126.83787419,5
1877,35.21063849,126.8374298,5
1861,35.21122175,126.8369576,5
1835,35.2109718,126.83815195,5
1828,35.2109718,126.83815195,5
99,35.21097179,126.8378742,5
109,35.2117217,126.83737422,5
1785,35.21122175,126.8369576,5
1967,35.2109718,126.83815195,5
272,35.21057310925684,126.83818075246764,5
288,35.21033296,126.83706873,5
1326,35.21133287,126.83826304,5
1180,35.21133287,126.83826304,5
389,35.2106385,126.83826306,5
1142,35.21088845,126.83704094,5
1189,35.21147171,126.83662429,5
1178,35.2117217,126.83737422,5
1198,35.20991636,126.83792977,5
1042,35.21130509,126.83787419,5
378,35.20991636,126.83792977,5
1078,35.2117217,126.83737422,5
1218,35.21097178,126.83745757,5
1037,35.21133287,126.83826304,5
374,35.2117217,126.83737422,5
1250,35.21091623,126.83706871,5
373,35.20991636,126.83792977,5
1231,35.21158283,126.83759643,5
1056,35.2117217,126.83737422,5
370,35.2117217,126.83737422,5
1263,35.21130509,126.83787419,5
1094,35.21057310925684,126.83818075246764,5
1286,35.21158283,126.83759643,5
1128,35.20991637,126.83867971,5
1300,35.2117217,126.83737422,5
575,35.2117217,126.83737422,5
1059,35.20694484,126.85976125,6
1870,35.20652821,126.85951128,6
1738,35.20650044,126.85948351,6
1070,35.20727814,126.86012232,6
1106,35.20652823,126.86065007,6
1790,35.20652821,126.85951128,6
1095,35.20677818,126.85928907,6
687,35.20730591,126.86012232,6
1817,35.20652821,126.85951128,6
1887,35.20694484,126.85976125,6
684,35.20652823,126.86065007,6
681,35.20652823,126.86026121,6
1762,35.20647269,126.86123335,6
1969,35.20652821,126.85951128,6
1935,35.20652821,126.85951128,6
1012,35.20730591,126.85978901,6
592,35.20694484,126.86012233,6
2041,35.20650044,126.85948351,6
987,35.20694484,126.8601501,6
2038,35.20652821,126.85951128,6
2036,35.20652821,126.85951128,6
1019,35.20730591,126.86012232,6
985,35.20694484,126.85976125,6
2017,35.20652821,126.85951128,6
611,35.20652821,126.85951128,6
2044,35.20650044,126.85948351,6
612,35.20652823,126.86065007,6
1029,35.206551,126.8594921,6
984,35.20730591,126.86012232,6
1973,35.20694484,126.85976125,6
980,35.20691707,126.8601501,6
1044,35.20652823,126.86062229,6
1049,35.20694484,126.8601501,6
1054,35.20661156,126.86095559,6
